{ 30654594, 633352227, "Rue Saint-Léonard", "tertiary", 30, false }
{ 30654594, 5743831683, "Rue Saint-Léonard", "tertiary", 30, false }
{ 30654594, 7012506466, "nan", "footway", -1, false }
{ 30654594, 7012506465, "nan", "footway", -1, false }
{ 30654596, 345193456, "Rue Célestin Port", "tertiary", 30, false }
{ 30654596, 8419021168, "nan", "footway", -1, false }
{ 30654596, 8419021167, "nan", "footway", -1, false }
{ 30654596, 2112302919, "Rue Célestin Port", "tertiary", 30, false }
{ 30654607, 9076160259, "Boulevard du Général de Gaulle", "secondary", 50, true }
{ 30654607, 5939684454, "Pont de la Basse Chaîne", "secondary", 50, false }
{ 30654608, 3300129340, "nan", "trunk_link", 50, true }
{ 30654608, 5156577417, "Boulevard du Général de Gaulle", "secondary", 50, true }
{ 30654612, 1341258935, "Boulevard du Bon Pasteur", "tertiary", 50, false }
{ 30654612, 9910415216, "Boulevard du Bon Pasteur", "tertiary", 50, false }
{ 30654621, 633292515, "Square Jean-Paul Sartre", "residential", 50, false }
{ 30654621, 2915069226, "Boulevard Albert Camus", "residential", 50, false }
{ 30654621, 10659157452, "Boulevard Albert Camus", "residential", 50, false }
{ 30654628, 3619551707, "Rue de la Bruyère", "residential", 30, false }
{ 30654628, 7051955093, "Rue Chef de Ville", "residential", 30, false }
{ 30654628, 9091371585, "Rue de la Traquette", "residential", 30, false }
{ 30654643, 8643426176, "Rue Charlet", "residential", -1, false }
{ 30654643, 11116635056, "Rue Charlet", "residential", -1, false }
{ 30654643, 3442653080, "Rue Charlet", "residential", -1, true }
{ 30654645, 11116635056, "Rue Charlet", "residential", -1, false }
{ 30654645, 1806667121, "Rue Saint-Jacques", "residential", 30, false }
{ 30654645, 3442653081, "Rue Saint-Jacques", "residential", 30, false }
{ 30654653, 11353677684, "Rue Daniel Duclaux", "residential", 50, false }
{ 30654654, 9144140549, "nan", "footway", -1, false }
{ 30654654, 1562198830, "nan", "footway", -1, false }
{ 30654654, 2077295749, "Avenue des Hauts de Saint-Aubin", "unclassified", 30, true }
{ 30654656, 6034635916, "nan", "footway", -1, false }
{ 30654656, 2077288465, "Avenue des Hauts de Saint-Aubin", "residential", 30, true }
{ 30654656, 9144140484, "nan", "footway", -1, false }
{ 30654657, 1340097069, "Rue Renée", "residential", 30, false }
{ 30654657, 1562199162, "Rue Renée", "residential", 30, false }
{ 30654657, 8789622725, "nan", "footway", -1, false }
{ 30654657, 8789622618, "nan", "footway", -1, false }
{ 30969616, 534387454, "nan", "tertiary", 50, true }
{ 30969618, 2512566872, "Rue Montesquieu", "tertiary", 30, true }
{ 30969618, 603049125, "nan", "footway", -1, false }
{ 30969618, 5502124240, "nan", "cycleway", -1, false }
{ 30969630, 32320802, "nan", "tertiary", 50, true }
{ 30969632, 3373065344, "Rue Montesquieu", "tertiary", 30, false }
{ 30969632, 32320801, "Rue Montesquieu", "tertiary", 50, true }
{ 30969634, 534387517, "Square des Hautes Fouassières", "residential", 30, false }
{ 30969634, 2919564033, "Rue Montesquieu", "tertiary", 30, false }
{ 30969634, 3373065344, "Rue Montesquieu", "tertiary", 30, false }
{ 30969646, 11117347837, "Rue Montesquieu", "tertiary", 30, false }
{ 30969646, 5982075073, "nan", "residential", 20, false }
{ 30969646, 534387518, "Rue Montesquieu", "tertiary", 30, false }
{ 30969660, 6552941175, "Rue Saint-Jacques", "residential", 30, false }
{ 30969660, 1782553799, "Rue Saint-Jacques", "residential", 30, false }
{ 30969660, 6552941174, "Rue de l'Abbaye", "residential", 30, false }
{ 30969670, 10176883933, "Rue Raspail", "residential", 30, false }
{ 30969670, 7051955093, "Rue Chef de Ville", "residential", 30, false }
{ 30969674, 2532926922, "Boulevard Albert Camus", "secondary", 50, false }
{ 30969674, 30969676, "Boulevard Albert Camus", "secondary", 50, false }
{ 30969674, 2532926921, "Rue de la Meignanne", "tertiary", 50, true }
{ 30969676, 30969674, "Boulevard Albert Camus", "secondary", 50, false }
{ 30969676, 3628862342, "Rue de la Meignanne", "secondary", 50, true }
{ 30969676, 2645835128, "Boulevard Albert Camus", "residential", 50, false }
{ 32320452, 8188733926, "Avenue Victor Châtenay", "secondary", 50, false }
{ 32320452, 8188733928, "Avenue Victor Châtenay", "secondary", 50, false }
{ 32320452, 1572618478, "Rue George Sand", "residential", -1, false }
{ 32320465, 7037066336, "Boulevard Gaston Birgé", "secondary", -1, true }
{ 32320465, 2112386208, "Rue du Daguenet", "residential", -1, true }
{ 32320470, 345227399, "nan", "footway", -1, false }
{ 32320470, 7687897857, "Boulevard Gaston Birgé", "secondary", -1, true }
{ 32320470, 9103459012, "nan", "footway", -1, false }
{ 32320471, 6731367425, "Boulevard Copernic", "tertiary", 50, true }
{ 32320471, 4616597257, "nan", "footway", -1, false }
{ 32320471, 9160323706, "nan", "footway", -1, false }
{ 32320472, 32320473, "Boulevard Copernic", "tertiary", 50, false }
{ 32320472, 4616597248, "Boulevard Copernic", "tertiary", 50, false }
{ 32320472, 9160311003, "nan", "footway", -1, false }
{ 32320472, 9160310998, "nan", "footway", -1, false }
{ 32320473, 2066085187, "Boulevard Copernic", "residential", 50, false }
{ 32320473, 32320472, "Boulevard Copernic", "tertiary", 50, false }
{ 32320473, 1342652469, "nan", "tertiary", 50, true }
{ 32320473, 32889742, "Boulevard Henri Dunant", "tertiary", 50, false }
{ 32320476, 630719177, "Boulevard Henri Dunant", "tertiary", 50, true }
{ 32320476, 4616597226, "nan", "footway", -1, false }
{ 32320476, 9176906632, "nan", "footway", -1, false }
{ 32320483, 8643517708, "Boulevard Henri Dunant", "tertiary", 50, true }
{ 32320483, 4616597213, "nan", "footway", -1, false }
{ 32320483, 5810492720, "nan", "footway", -1, false }
{ 32320499, 32320502, "Boulevard Charles Barangé", "trunk", 50, true }
{ 32320502, 32320507, "Boulevard Charles Barangé", "trunk", 50, true }
{ 32320502, 272387727, "nan", "trunk_link", -1, true }
{ 32320507, 32320537, "Boulevard Charles Barangé", "trunk", 50, true }
{ 32320524, 603167457, "Boulevard Charles Barangé", "trunk_link", 50, true }
{ 32320524, 5157461008, "Boulevard Charles Barangé", "trunk_link", -1, true }
{ 32320537, 5707668242, "Boulevard Charles Barangé", "trunk", 50, true }
{ 32320537, 6708102958, "nan", "trunk_link", -1, true }
{ 32320555, 4952982347, "Route de Bouchemaine", "tertiary", -1, true }
{ 32320557, 32320568, "Avenue Jean XXIII", "residential", 50, false }
{ 32320557, 6665370882, "Route de Bouchemaine", "tertiary", -1, true }
{ 32320560, 5791913959, "nan", "tertiary", -1, true }
{ 32320562, 32320563, "nan", "tertiary", -1, true }
{ 32320563, 6665370871, "Boulevard Robert d'Arbrissel", "tertiary", 50, true }
{ 32320563, 345255752, "nan", "tertiary", -1, true }
{ 32320565, 6665370881, "Route de Bouchemaine", "tertiary", -1, true }
{ 32320565, 32320560, "nan", "tertiary", -1, true }
{ 32320568, 6766259041, "Route de Bouchemaine", "tertiary", -1, true }
{ 32320568, 32320557, "Avenue Jean XXIII", "residential", 50, false }
{ 32320568, 7969897251, "Avenue Jean XXIII", "residential", 50, false }
{ 32320608, 32320634, "nan", "footway", -1, false }
{ 32320608, 1352793819, "Boulevard Albert Blanchoin", "tertiary", -1, true }
{ 32320608, 7282534712, "nan", "footway", -1, false }
{ 32320612, 2657559103, "nan", "tertiary_link", -1, true }
{ 32320612, 345257168, "Boulevard Albert Blanchoin", "tertiary", -1, true }
{ 32320634, 32320608, "nan", "footway", -1, false }
{ 32320634, 7282534711, "nan", "footway", -1, false }
{ 32320634, 8964057931, "Boulevard Albert Blanchoin", "tertiary", -1, true }
{ 32320635, 10599108707, "Boulevard Albert Blanchoin", "tertiary", 50, true }
{ 32320637, 6708102940, "nan", "footway", -1, false }
{ 32320637, 6708102941, "nan", "footway", -1, false }
{ 32320637, 7969675568, "Rue Éblé", "residential", 30, false }
{ 32320637, 5897650826, "Rue Éblé", "residential", -1, true }
{ 32320648, 7969474125, "Rue de la Genvrie", "residential", 30, false }
{ 32320648, 7969431865, "Chemin des Musses", "tertiary", -1, true }
{ 32320672, 272387740, "nan", "tertiary", 30, true }
{ 32320672, 2388148129, "Promenade de la Baumette", "tertiary", 30, false }
{ 32320675, 2388148122, "Boulevard Marc Leclerc", "tertiary", 30, false }
{ 32320675, 32320672, "nan", "tertiary", 30, true }
{ 32320677, 6885245789, "Boulevard Marc Leclerc", "tertiary", 30, false }
{ 32320677, 633328447, "Place Hubert Grimault", "tertiary", 30, true }
{ 32320680, 6888606485, "Boulevard Olivier Couffon", "tertiary", 50, false }
{ 32320680, 633328431, "Place Hubert Grimault", "tertiary", 30, true }
{ 32320697, 1341301997, "Quai du Roi de Pologne", "trunk_link", 50, true }
{ 32320697, 1046178981, "Quai de Ligny", "trunk", 50, true }
{ 32320699, 3644276755, "Avenue René Gasnier", "secondary", 50, false }
{ 32320699, 7057231569, "Boulevard Elisabeth Boselli", "tertiary", 30, true }
{ 32320699, 1562198982, "Avenue Pierre Mendès France", "secondary", 50, true }
{ 32320754, 1352741261, "Rue Jacques Callot", "residential", 50, false }
{ 32320754, 633283420, "nan", "secondary", 30, true }
{ 32320761, 1340206465, "Rue de la Traquette", "residential", 50, false }
{ 32320761, 3442645128, "Rue de la Meignanne", "secondary", 50, true }
{ 32320761, 2888835540, "Rue de la Traquette", "residential", 50, false }
{ 32320765, 634341598, "nan", "secondary", 50, true }
{ 32320765, 2051005116, "Rue de la Meignanne", "secondary", 50, false }
{ 32320769, 264585548, "Boulevard Descazeaux", "secondary", 30, false }
{ 32320769, 2051005116, "Rue de la Meignanne", "secondary", 50, false }
{ 32320769, 7003848298, "Boulevard Georges Clemenceau", "secondary", 50, false }
{ 32320769, 7052041057, "Boulevard Georges Clemenceau", "secondary", 50, false }
{ 32320773, 627690399, "Rue Dindron", "residential", 30, false }
{ 32320773, 10177898884, "Impasse Ampère", "residential", -1, false }
{ 32320773, 7741579221, "Place Monprofit", "secondary", 50, true }
{ 32320773, 10177898831, "Boulevard Georges Clemenceau", "secondary", 50, false }
{ 32320774, 32320775, "Place Monprofit", "secondary", 50, true }
{ 32320774, 10176873913, "nan", "footway", -1, false }
{ 32320774, 7741579214, "nan", "footway", -1, false }
{ 32320775, 10176883886, "Place Monprofit", "secondary", 50, true }
{ 32320775, 6502322533, "Rue Chef de Ville", "residential", -1, true }
{ 32320776, 8880636904, "Place Monprofit", "residential", 50, false }
{ 32320776, 2047806142, "Rue Saint-Jacques", "residential", 30, false }
{ 32320776, 32320777, "Place Monprofit", "secondary", 50, true }
{ 32320777, 2047740736, "Place Monprofit", "secondary", 50, true }
{ 32320777, 10176873867, "nan", "footway", -1, false }
{ 32320777, 8880636901, "nan", "footway", -1, false }
{ 32320788, 1340223102, "Rue de la Meignanne", "secondary", 50, true }
{ 32320788, 633283416, "nan", "secondary", 30, true }
{ 32320801, 32320803, "nan", "tertiary", 50, true }
{ 32320802, 418365448, "nan", "tertiary", 50, true }
{ 32320802, 534387458, "Allée des Maraîchers", "service", -1, false }
{ 32320803, 3371640784, "Rue de la Croix Pelette", "residential", 30, true }
{ 32320803, 1341706037, "nan", "tertiary", 50, true }
{ 32320804, 32320805, "nan", "tertiary", 50, true }
{ 32320804, 11146956747, "Rue de la Barre", "residential", 50, true }
{ 32320805, 11146956741, "Rue de Pruniers", "tertiary", 50, true }
{ 32320805, 634341790, "nan", "tertiary", 50, true }
{ 32320814, 1341705959, "nan", "trunk_link", 50, true }
{ 32320814, 32320824, "Échangeur du Lac de Maine", "tertiary", 50, true }
{ 32320824, 32320827, "nan", "tertiary", 50, true }
{ 32320827, 2074527061, "nan", "tertiary", 50, true }
{ 32320828, 633408548, "nan", "tertiary", 50, true }
{ 32320830, 2074513413, "Rue du Grand Launay", "tertiary", 50, true }
{ 32320830, 32320831, "nan", "tertiary", 50, true }
{ 32320831, 32320832, "nan", "tertiary", 50, true }
{ 32320832, 3417314815, "nan", "tertiary", 50, true }
{ 32320832, 3428346400, "nan", "service", -1, false }
{ 32320833, 2074527052, "nan", "trunk_link", 50, true }
{ 32320833, 32320828, "nan", "tertiary", 50, true }
{ 32320834, 244892741, "nan", "footway", -1, false }
{ 32320834, 523074842, "Rue du Grand Launay", "tertiary", 50, true }
{ 32320839, 244892738, "nan", "tertiary", -1, true }
{ 32320839, 32320840, "Rue de la Chambre aux Deniers", "tertiary", -1, true }
{ 32320840, 8524054590, "Rue de la Chambre aux Deniers", "tertiary", -1, true }
{ 32320840, 8524054589, "Rue de la Chambre aux Deniers", "tertiary", -1, true }
{ 32320840, 8524054591, "nan", "cycleway", -1, true }
{ 32320841, 633408575, "nan", "tertiary", 50, true }
{ 32320842, 2042034465, "Avenue du Lac de Maine", "tertiary", 50, true }
{ 32320846, 11222462864, "Avenue du Lac de Maine", "tertiary", 50, true }
{ 32320848, 11222440954, "Rue de la Côte de Bellevue", "residential", -1, true }
{ 32320848, 2042059761, "nan", "tertiary", -1, true }
{ 32320864, 2042034474, "nan", "tertiary", 50, true }
{ 32320866, 633408574, "nan", "tertiary", 50, true }
{ 32889742, 9100546118, "Boulevard Henri Dunant", "tertiary", 50, false }
{ 32889742, 32320473, "Boulevard Henri Dunant", "tertiary", 50, false }
{ 32889742, 9160432322, "nan", "footway", -1, false }
{ 32889742, 9160432319, "nan", "footway", -1, false }
{ 39031228, 5285463711, "Avenue du Lac de Maine", "tertiary", 50, false }
{ 39031228, 5127953098, "Avenue du Lac de Maine", "tertiary", -1, false }
{ 39031228, 2051547594, "nan", "service", 30, false }
{ 39031237, 5168964213, "Avenue du Lac de Maine", "tertiary", 30, false }
{ 39031237, 5173831159, "nan", "trunk_link", 50, true }
{ 39031237, 1360420708, "Avenue du Lac de Maine", "tertiary", 50, false }
{ 39031279, 30969616, "nan", "tertiary", 50, true }
{ 39031279, 1666517827, "nan", "trunk_link", -1, true }
{ 39031335, 2615924579, "Place de la Laiterie", "secondary", 30, false }
{ 39031335, 5848831625, "Boulevard Descazeaux", "secondary", 30, false }
{ 39031363, 627676268, "Rue Beaurepaire", "secondary", 30, false }
{ 39031363, 2615924580, "Place de la Laiterie", "secondary", 30, false }
{ 39031363, 11121980014, "nan", "footway", -1, false }
{ 39031363, 11121980048, "nan", "footway", -1, false }
{ 39031616, 6823763338, "Rue Millet", "living_street", 20, true }
{ 39031616, 6823763371, "Rue Baudrière", "residential", 30, true }
{ 39031643, 3502742474, "Rue de la Poissonnerie", "residential", 30, true }
{ 39031643, 2905021568, "Rue de la Poissonnerie", "residential", 30, true }
{ 39031648, 6587551444, "Rue de la Parcheminerie", "living_street", 20, true }
{ 39031648, 39031656, "Rue Plantagenêt", "residential", 30, false }
{ 39031656, 11033131662, "Rue Plantagenêt", "residential", 30, false }
{ 39031656, 39031648, "Rue Plantagenêt", "residential", 30, false }
{ 39031656, 10176334559, "nan", "footway", -1, false }
{ 39031721, 6624952684, "Rue du Maine", "residential", 30, true }
{ 39031721, 2501431404, "Boulevard Ayrault", "secondary", 50, true }
{ 49501535, 10019202233, "nan", "trunk", 50, true }
{ 99067289, 99067294, "Boulevard Carnot", "secondary", 50, true }
{ 99067289, 8637837516, "nan", "footway", -1, false }
{ 99067289, 290388217, "nan", "footway", -1, false }
{ 99067294, 1345083740, "Boulevard Carnot", "secondary", -1, true }
{ 99067294, 7304557404, "Boulevard Carnot", "secondary", 50, true }
{ 99067300, 1345083730, "Boulevard Saint-Michel", "secondary", -1, true }
{ 99067300, 1345083763, "Boulevard Carnot", "secondary", 50, true }
{ 99067305, 1345083762, "Rue Pierre Lise", "secondary", -1, true }
{ 99067305, 345158145, "Boulevard Saint-Michel", "secondary", -1, true }
{ 99067318, 2122605355, "Rue Pierre Lise", "secondary", -1, true }
{ 99067318, 2122605361, "Rue Savary", "residential", 30, true }
{ 99067324, 6553055980, "Avenue Montaigne", "secondary", -1, true }
{ 99067324, 7038114972, "Avenue Pasteur", "residential", 50, false }
{ 99067324, 345156016, "Avenue Pasteur", "secondary", 50, false }
